名前,年齢,性別,居住地,住居情報,職業・役職,会社規模,年収,学歴,家族構成,価値観・人生観,ライフスタイル,趣味・嗜好,目標・理想,購買行動,情報収集方法,使用デバイス,SNS利用状況,日課・タイムスケジュール,悩み,解決したいこと,好きなブランドや商品,よく見る映画・動画チャンネル,人間関係,最近の出来事やエピソード
田中健一郎,93,男性,東京都世田谷区,4LDKの戸建て（2階建）,元大学教授（定年退職後、非常勤講師として活動中）,なし（個人として活動）,年収約300万円（退職金と年金の他、非常勤講師の報酬含む）,東京大学工学部卒業（博士号取得）,妻1人（89歳）、長女2人（65歳、60歳）、孫3人（40歳、35歳、30歳）,教育の重要性を強く信じており、次世代への知識の継承に尽力している。家族との時間も大切にしている。,朝は散歩から始まり、午前中は読書や研究、午後は家事や孫の面倒を見たり、地域のボランティア活動に参加する。夜は妻と一緒にテレビを観る。,ガーデニング、将棋、古典文学の読み聞かせ,生涯学習の推進と、孫たちに科学への興味を持ってもらうこと。さらに、地域社会に貢献し続けること。,必要最低限のものしか購入しないが、質の良いものは価格に関わらず選ぶ傾向がある。オンラインショッピングも利用するが、主に書籍や専門的な教材を購入する。,新聞（朝日新聞）、TVニュース、インターネット上の専門サイト,スマートフォン（iPhone）、タブレット（iPad）,Facebook（主に家族や元同僚との連絡用）,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 読書・研究 → 12:00 昼食 → 13:00 家事や孫の面倒を見る、地域ボランティア活動に参加 → 18:00 夕食 → 19:00 TVを観る、読書 → 22:00 就寝,自身の健康問題（軽い膝痛）や妻の認知症の進行。また、孫たちが忙しくて会う機会が少なくなっていること。,より健康的な生活を送るためのサポート。家族とのつながりを強化する方法。地域社会での役割を見つけること。,無印良品、パナソニック,NHK BSプレミアム（ドキュメンタリー番組）、Netflix（歴史ドラマ）,家族との強い絆がある。地元のコミュニティで尊敬される存在。大学時代の同僚や教え子とも定期的に交流がある。,孫が結婚したことで、新しい家族が増えたこと。地域のボランティア活動で若者と交流する機会が増えている。
田中 和子 (Tanaka Kazuko),94,女性,東京都大田区,3LDKのマンション、5階建ての2階に住んでいる,元小学校教諭（退職）,公立小学校（勤務経験あり）,年金収入、約180万円/年,東京学芸大学教育学部卒業,夫は2年前に亡くなった。長男夫婦と孫3人が近隣に住んでいる,家族の絆を大切にし、健康で穏やかな日々を送ること。社会貢献活動にも興味がある,朝早く起きて散歩をし、地元の人々と交流する。午後は趣味の時間や孫との時間が多い,園芸、読書、歌謡曲の歌唱、手芸（編み物）,95歳まで健康で過ごすこと。孫たちに伝統文化を教えたい,日用品は近所のスーパーやドラッグストアで購入する。服や贈り物は孫や家族と一緒に選ぶことが多い,地元新聞、テレビニュース、孫から教えてもらう情報,スマートフォン（孫からの連絡用）、デジタルカメラ（旅行の思い出を撮影）,LINEを使って孫や長男夫婦とコミュニケーションを取る。Facebookも利用しているが、主に見学程度,5:30 起床 → 6:00 散歩 → 7:00 朝食 → 8:00 園芸や読書 → 12:00 昼食 → 14:00 孫との時間や趣味の時間 → 19:00 夕食 → 21:00 就寝,体力の衰え、記憶力の低下。また、孫たちが忙しくて会えないことが寂しい,健康維持のための運動や食事についてアドバイスを受けたい。家族とのつながりを深める方法を探している,無印良品（日用品）、シマノ（園芸用具）,朝ドラ、NHKニュース、BSで放送される歌謡番組,地元の親しい友人や近所の人々との関係が深い。孫たちとは特に親密な関係を築いている,先週、孫の家族が訪れ、一緒に花見に行った。また、近くの公民館で開かれた手芸クラブに参加した
佐藤弘明,107,男性,東京都世田谷区,高齢者向け住宅（2LDK）,名誉教授（定年後、非常勤講師として大学で教鞭をとる）,大学,"1,500万円/年（退職金含む）",東京大学理学部卒業（博士号取得）,配偶者あり、子供3人（孫8人）,知識の伝承と社会貢献、家族との時間,朝6時に起床、散歩を兼ねて近所をジョギング。昼には研究室で若手教員や学生との交流。夕方には孫たちと遊ぶ時間を大切にしている。,読書（特に科学技術関連の本）、将棋、花見,現役時代の研究成果をまとめた本を出版すること、孫たちに知識を伝えること,必要なものだけを購入し、節約志向。ただし、家族への贈り物や健康維持のために投資する。,新聞（朝日新聞）、テレビニュース、大学の研究会議事録,スマートフォン、タブレット、PC,SNSはほとんど利用せず。ただし、孫たちとの連絡のためにLINEを利用している。,6:00 起床 → 7:00 朝食 → 8:00 近所の散歩 → 10:00 研究室へ → 12:00 昼食 → 14:00 学生との打ち合わせ → 16:00 帰宅 → 18:00 夕食 → 20:00 読書やテレビ視聴 → 22:00 就寝,健康維持、認知症のリスク、家族の将来,健康チェックの定期的な実施、家族とのコミュニケーション手段の充実、若者への知識伝承の方法探求,無印良品、コカ・コーラ、サントリー,NHK Eテレの科学番組、Netflixのドキュメンタリー,家族との関係が最も大切。大学時代からの友人と定期的に会合を持つ。,孫の一人が大学に進学し、一緒にキャンパスを案内した。また、定年退職後初めての著書が出版され、学界から高い評価を受けている。
田中 千草,105,女性,東京都世田谷区,4LDKの一戸建て（孫家族と同居）,元小学校教諭、現在は地域の公民館でのボランティア活動,非適用（ボランティア活動）,年金生活者（約200万円/年）,早稲田大学教育学部卒業,孫3人と同居、娘夫婦が近所に住んでいる,家族の絆を大切にする、地域社会への貢献、健康第一,朝は散歩、昼は公民館でボランティア活動、夕方は孫と過ごす。週1回ヨガクラスに参加。,読書（特に文学作品）、庭いじり、孙との時間、映画鑑賞,健康を維持し、孫の成長を見守る。地域の子供たちに読み聞かせ活動を続ける,必要最低限のものだけを購入する。主に地元の商店街で買い物をする。,テレビニュース、新聞、公民館の掲示板、孫からの情報提供,スマートフォン（孫からプレゼント）、デジタルテレビ,Facebook（孫と連絡を取るため）,6:30 起床 → 7:00 散歩 → 8:00 朝食（孫と一緒に）→ 9:00 家事・庭仕事 → 12:00 昼食（公民館でのボランティア活動時）→ 14:00 ヨガクラス（週1回）→ 16:00 孫の迎え → 18:00 夕食（孫と一緒に）→ 20:00 読書・テレビ鑑賞 → 22:00 就寝,健康状態、孫の成長環境、地域社会の活性化,健康的な食事の提供、孫とのコミュニケーションの機会、地域での役割を果たす機会,無印良品、キユーピー、アマナ,NHK BSプレミアム、映画（邦画）,娘夫婦との良好な関係、地域の住民との交流、孫との深い絆,最近は公民館で子供たちに読み聞かせ活動を行っており、孫の学校行事にも積極的に参加している。また、地元の商店街でも顔見知りが増え、地域での地位が高まっている
山田 翔,19,男性,東京都世田谷区,ワンルームアパート,大学生・バーテンダー（兼業）,個人経営のバー,年収約150万円（アルバイト含む）,東京都立大学工学部機械工学科2年生,父（会社員）、母（専業主婦）、妹（高校生）,自由な精神と家族の絆を大切にしている。将来的には社会に貢献できるエンジニアになることを目指している。,平日は学校とバイト、週末は友人と遊ぶことが多い。家ではアニメやゲームを楽しむ。,ギター演奏、プログラミング、アニメ鑑賞,大学卒業後、大手製造業に就職し、研究開発部門で働くこと。将来的には独立して自分の会社を持つ。,必要なものだけを買う。特に技術系の本や新しいデバイスに関心がある。,主にSNSとYouTubeで情報を収集する。ニュースサイトも時々見ている。,スマートフォン、ノートPC,Instagram（写真共有）、Twitter（情報収集・友人とのコミュニケーション）,7:00 起床、8:00 学校へ、12:00 昼食、13:00 授業、16:00 バイトへ、22:00 帰宅・夕飯、23:00 自習・リラックス、0:00 就寝,就職活動がうまくいくか不安。また、大学の授業とバイトの両立に苦労している。,より効率的な時間管理法を見つけたい。プログラミングスキルを向上させたい。,Apple（デバイス）、Uniqlo（衣服）,Netflix（アニメ・映画）、YouTube（技術系チャンネル、ゲーム実況）,友人との関係は良好。特に親しい友人が3人いて、週末によく集まる。,先月、初めてのアルバイトでの接客を担当し、良い経験になった。今月は大学祭に向けて準備をしている。
佐藤春花,19,女性,東京都世田谷区,大学の寮に一人暮らし,学生（カフェでのパートタイムアルバイト）,カフェ（小さな店舗、従業員数10名未満）,"時給1,000円、月収約8万円",高校卒業後、都内私立大学に進学,両親と弟の4人家族。週末に家族で食事をする機会がある,自由な生き方を尊重し、自己実現のために努力することを大切にする,平日は大学とバイトに忙しいが、休日には友達や趣味の時間を楽しむ。健康的な生活を心掛けている,音楽を聴いたり演奏したりすること、旅行に行くこと、料理をすることが好き,将来的には社会貢献ができる仕事に就きたい。まずは大学での学びを深めることと、語学力を上げることを目指す,必要なものだけを購入し、質よりも価格重視の傾向がある。オンラインショッピングも活用している,SNS（Instagram、Twitter）、YouTube、大学の掲示板,スマートフォン、ノートPC,InstagramとTwitterを頻繁に利用。主に友人や趣味関連の情報収集に使用している,7:00 起床 → 8:00 朝食 → 9:00 大学へ向かう（バイトがある日は14:00頃から）→ 18:00 帰宅 → 20:00 晩御飯 → 21:00 自由時間（勉強、趣味の時間等）→ 23:00 就寝,大学生活とバイトのバランスを取ること、就職活動に向けてどのように準備すべきか,ストレス発散法を見つけること、自己啓発のための新しい趣味を見つけたい,Uniqlo、Zara、Apple,Netflix（旅行や料理に関する番組）、Spotify（J-POP、K-POP）,友達との関係が大事で、週末にはよく会う。先生とは良好な関係を築けている,最近は新しいバイト先での慣れない仕事に四苦八苦しているが、楽しい経験となっている
佐藤一郎,27,男性,東京都中央区,1Kアパート（独居）,ソフトウェア開発エンジニア,"大手IT企業（従業員数3,000人以上）",年収650万円,東京大学工学部卒業,未婚、一人っ子。両親と時々会う。,仕事への使命感が強く、自己成長を重視する。家族や友人との時間を大切にする。,平日は早朝にジムで運動し、その後出勤。週末は趣味のプログラミングや読書をする。,プログラミング、読書（特にテクノロジー関連）、映画鑑賞,将来的にはテック企業を立ち上げる。また、社会貢献活動にも興味がある。,品質と価格のバランスを重視。新しい技術製品に積極的に投資する。,ニュースサイト、専門的なIT系ウェブマガジン、SNSの専門家フォロー,"MacBook Pro, iPhone, タブレット（iPad）",LinkedInで業界動向をチェック。Twitterで友人との交流と情報収集。,6:00 起床 → 7:00 ジム → 8:30 朝食 → 9:00 出勤 → 12:00 昼休憩 → 18:00 退社 → 19:00 夕食 → 20:00 趣味や読書 → 23:00 就寝,仕事のストレス、将来のキャリアパス、結婚と家庭についての悩み,より良い健康管理方法、自己啓発のためのリソース、社会貢献の機会,"Apple, Nike, Amazon",Netflix（テクノロジーやSF映画）、YouTube（プログラミングチュートリアル）,職場の同僚との良好な関係、大学時代の友人との定期的な交流,先月は新しいプロジェクトを担当し、大きな成果を上げた。今週末は友人の結婚式に出席する予定。
佐藤美咲,27,女性,東京都世田谷区,1LDKのマンション（賃貸）,Webデザイナー,中小企業（50〜100人程度）,年収380万円,私立大学情報学部卒業,独身。家族は両親と妹（24歳、大学生）。月に1回程度実家に帰省。,自己成長と自己表現を大切にし、仕事もプライベートもバランスよく楽しみたいと考えている。社会貢献にも興味がある。,早起きが得意で、朝の静かな時間を利用して読書や瞑想をすることが日課。平日は会社帰りにジムに通い、週末は友人とカフェ巡りや映画鑑賞を楽しむ。,写真撮影（特に風景）、料理（ヘルシーなレシピの開発）,3年後に独立し、自分のデザイン事務所を開くことを目指している。また、年に1回は海外旅行に行き、異なる文化に触れることが目標。,品質とデザイン性を重視する。インターネットでのショッピングが主だが、実店舗でも体験型のサービスに興味がある。,SNS（特にInstagram）、Web記事、専門的なブログ,iPhone、MacBook Pro、デジタルカメラ,Instagram（写真共有）、Twitter（情報収集）、LINE（友人との連絡）,6:00 起床 → 7:00 瞑想と読書 → 8:00 朝食 → 9:00 出社 → 18:30 帰宅 → 20:00 ジム → 22:00 夕食・自由時間 → 23:30 就寝,仕事のストレスや時間管理、独立までの準備。また、健康維持にも気を使っている。,時間管理の方法、ストレスマネジメントのテクニック、新しいスキルを学ぶ機会、健康的な食生活のヒント,"Apple, Uniqlo, Muji",Netflix（ドキュメンタリーや旅番組）、YouTube（料理動画）,友人との関係が大切で、仕事や趣味を通じて新しい人々との出会いを楽しんでいる。職場でも良好な人間関係を築いている。,先週末に友人たちと地元の温泉旅行に行き、リフレッシュした。また、今週は会社のプロジェクトが一段落し、少しほっとしている。
山田健太,35,男性,東京都世田谷区,分譲マンション（3LDK）,ITエンジニア（システムアーキテクト）,100人以上の規模のIT企業,年収1000万円,早稲田大学理工学部卒業,妻と娘2人の4人家族（娘は5歳と3歳）,家族との時間や健康を大切にし、仕事も頑張るバランス型の価値観,平日は朝6時に起床して朝食を取り、7時半に出社。19時には退社し、家族と夕食をとる。週末は家族で公園や旅行など楽しむ。,マラソン、読書（技術系・ビジネス書）、映画鑑賞,5年以内に副業として起業する。家族との時間をより質の高いものにする。,必要性を確認した上で、信頼できるブランドや品質が高い商品を選んで購入する。,ニュースサイト、技術系ブログ、ビジネス雑誌,"iPhone 13 Pro, MacBook Air M2, Apple Watch Series 7",Twitter（主に情報収集）、Instagram（家族の写真共有）,6:00 起床 → 6:30 朝食 → 7:15 準備 → 7:30 電車で出社 → 9:00 仕事開始 → 12:00 昼休憩 → 18:00 退社準備 → 19:00 家族と夕食 → 21:00 子供の寝かしつけ → 22:00 読書・映画視聴,仕事と家庭の両立、子育てにおける教育方針、将来的な副業の可能性,効率的な時間管理法の習得、より良い教育環境の提供、ビジネススキルの向上,"Apple, Nike, Sony",Netflix（ドラマ・映画）、YouTube（技術系チャンネル）,同僚とは良好な関係を築いており、友人とも定期的に会う。妻とのコミュニケーションは充実している。,先月、家族で北海道の温泉旅館に旅行し、リフレッシュした。先週、新たなプロジェクトの責任者に任命された。
佐藤 明美 (Sato Akemi),36,女性,東京都世田谷区,3LDKのマンション（築10年）,Webデザイナー兼フリーランス,個人事業主,約700万円/年,千葉大学芸術学部デザイン学科卒業,独身、同棲中の彼氏がいる,自分らしさを大切にし、クリエイティブな生き方を目指している。環境保護にも関心がある。,朝型生活者で、早起きして瞑想とヨガを行っている。週末は自然の中での時間を楽しむことが好き。,写真撮影、イラスト制作、料理（特にベジタリアン料理）,自身のデザインスタジオを立ち上げること。また、持続可能な生活を推進するプロジェクトに参加したい。,品質と価値を重視し、長持ちするものやエコフレンドリーな製品を選ぶ傾向がある。,オンライン記事（特にデザインや環境に関するもの）、SNS、書籍,"MacBook Pro, iPhone 13, iPad Air",Instagram (ポートフォリオの展示と作品紹介)、Twitter (情報収集と共有),5:30 起床 → 瞑想・ヨガ → 朝食 → 9:00〜12:00 クライアントワーク → 昼食 → 13:00〜17:00 個人プロジェクト → 18:00 ヨガスタジオでのレッスン（週3回）→ 20:00 晩餐 → 22:00 就寝,クライアントからの要求と自身のクリエイティブなビジョンとのバランスを保つこと。また、独身生活での将来性について考えることが多い。,仕事とプライベートの時間をより効率的に管理する方法を見つけたい。環境保護に貢献できる具体的な行動を模索している。,"Apple, Patagonia, Adobe",Netflix (ドキュメンタリー映画)、YouTube (料理とヨガのチャンネル),親しい友人グループがあり、週末には一緒に出かけることが多い。同棲中の彼氏とはお互いにサポートしあっている。,先月、地元のコミュニティで環境保護プロジェクトに参加し、新しい友人ができた。また、新たなクライアントとの契約を獲得した。
佐藤正樹,47,男性,東京都目黒区,3LDKのマンション、最寄り駅から徒歩10分,システムエンジニア（課長）,"大手IT企業（従業員数5,000人以上）",年収900万円,大学院修了、情報科学専攻,妻と娘2人の4人家族。長女は高校生、次女は中学生。,家族の時間を大切にし、仕事とのバランスを重視する。健康も重要な価値としている。,平日は早朝から夜まで働き、週末には家族で外出や旅行をすることが好き。定期的にジムにも通う。,マラソン、読書（主にIT関連の本）、映画鑑賞,将来的には管理職への昇進を目指す一方で、家族との時間をより多く持つこと。,高品質な製品やサービスを好む。購入前に詳細なリサーチを行う。,ニュースサイト、専門誌、ビジネス書籍、SNSの業界関連アカウント,スマートフォン（Android）、ノートPC（Windows）,LinkedInで業務上の情報収集とネットワーキング。プライベートではFacebookとInstagramを使用するが、頻度は低い。,6:00 起床 → 7:00 朝食・家族の準備 → 8:00 出勤（自転車で最寄り駅へ）→ 9:00 仕事開始 → 12:00 昼休み → 13:00 仕事再開 → 18:00 帰宅 → 19:00 夕食（家族と）→ 21:00 読書・映画鑑賞 → 23:00 就寝,仕事が忙しくなると家族との時間が取れないこと。健康管理にも気を遣いたい。,効率的な時間管理法やストレス解消方法の学習。健康診断を受けたい。,Apple、Nike、Adidas,Netflix（映画・ドラマ）、YouTube（技術系チャンネル）,会社では同僚や部下との良好な関係を築いている。趣味を通じて地元のマラソンクラブにも所属している。,先月、家族で箱根旅行に行き、リフレッシュした。来週は会社のプロジェクトが大きな節目を迎える予定。
佐藤真理子,43,女性,東京都世田谷区,築10年の戸建て住宅（5LDK）,大学教授（心理学）,大学教員、約200人の学生を指導,"年収1,000万円程度",東京大学文学部卒業、博士号取得,夫（45歳：IT企業社長）、子供2人（娘13歳、息子9歳）,教育の重要性を重んじ、家族との時間も大切にしている。自己実現と社会貢献を目指す。,朝は早起きしてランニングをする。平日は大学で講義や研究、週末は子供の習い事の送迎や家事を手伝う。,読書（心理学、自己啓発）、ヨガ、料理,より多くの学生に影響を与えること。将来的には海外でも講演活動を行うことを目指している。,品質とデザイン性を重視する。教育関連の商品や健康食品にも興味がある。,学術誌、ニュースサイト、専門家のブログ,"MacBook Pro, iPhone, iPad",研究者向けSNS（ResearchGate）、Facebook（主に友人との交流）,6:00 起床 → 7:00 ランニング → 8:00 朝食 → 9:00 大学へ出勤 → 18:00 帰宅 → 21:00 就寝,子供の進路や教育費。職場でのワークライフバランス。,ストレス管理方法の改善、効率的な時間管理術の習得,"Apple, ユニクロ, ナイキ",Netflix（ドキュメンタリー）、YouTube（心理学チャンネル）,大学の同僚や研究者とのネットワークが広く、地元の友人とも定期的に会う。,先月、国際学会で講演を行い好評を得た。来週は子供の学校行事に参加する予定。
山本裕二,58,男性,東京都目黒区,一戸建て (4LDK),建築設計士,中堅企業（100-300人）,850万円/年,東京大学工学部卒業,妻 (56歳)、長女 (27歳)、次女 (24歳)、孫 (3歳),家族の時間と仕事のバランスを重視。地域社会への貢献も大切にしている。,朝は早起きしてジョギングをする。平日は会社に通い、週末は家で過ごすことが多い。,読書（建築・デザイン関連）、ガーデニング、音楽鑑賞,早期退職後のセカンドライフ設計。孫と過ごす時間を増やすこと。,質の良い製品に価値を見出す。長く使えるものを選ぶ傾向がある。,専門誌、インターネット（建築関連サイト）、ニュース番組,スマートフォン (iPhone)、タブレット (iPad)、ノートPC (MacBook Pro),Facebook (友人との交流)、Instagram (趣味の写真共有),6:00 起床 → 7:00 ジョギング → 8:00 朝食 → 9:00 出勤 → 18:00 帰宅 → 21:00 夕食後、家族と過ごす時間,健康維持、親の介護問題、孫との関係性,健康的な生活を送るためのサポート、孫と楽しい時間を過ごせるアイデア,無印良品、Apple、Bose,Netflix (ドキュメンタリー)、YouTube (建築・デザインチャンネル),職場では尊敬される存在。地域ではPTAや町内会の役員を務める。,先月、孫の3歳の誕生日を祝い、家族で旅行に行った。来月は会社でのプロジェクトが締め切りを迎える予定。
佐藤 美紀子,54,女性,東京都港区,分譲マンション（3LDK）,医療事務長,中規模病院（200床以上）,年収800万円,大学院修了（保健医療学専攻）,夫（60歳、会社役員）、息子（30歳、IT企業勤務）、娘（27歳、公認会計士）,家族の健康と幸せを最優先に考え、仕事も大切にする。社会貢献活動にも積極的に参加する。,早起き習慣があり、朝はヨガや瞑想で心身のリフレッシュを行う。平日は出勤後、仕事が終わったら自宅でのんびりと過ごす。週末は家族で外出したり、友人との食事会に参加する。,旅行、読書（特に自己啓発や医学関連の本）、料理（健康を意識したレシピの研究）,退職後は医療系のNPO法人を立ち上げ、高齢者の支援活動に力を入れたい。また、家族との時間をさらに増やしたい。,品質と信頼性を重視し、ブランドや評判も考慮する。必要以上の出費は控える傾向にある。,新聞（朝日新聞）、専門誌（医療関連）、SNS（専門的な情報交換グループ）,スマートフォン（iPhone 13 Pro Max）、タブレット（iPad Air）、ノートPC（MacBook Air）,Facebook（主に家族や友人とのコミュニケーション）、LinkedIn（職業関連のネットワーキング）,6:00 起床、6:30 ヨガ・瞑想、7:00 朝食、8:00 出勤、12:00 昼休憩、18:00 帰宅、19:00 夕食、20:00 家事・リラクゼーション、23:00 就寝,高齢化社会における医療の質の維持と向上。夫の健康状態や仕事のストレス管理。,効率的な時間管理法の習得。家族とのコミュニケーションをより深めたい。新しい趣味や興味を見つけたい。,無印良品、ソニー、アップル,Netflix（ドキュメンタリー）、YouTube（料理レシピ）,夫とは30年以上の結婚生活で、信頼関係が築かれている。友人グループは大学時代からの仲間や職場での知り合いが多い。,最近、息子が結婚し、孫が生まれたことで、家族としての新たな役割を感じている。また、病院内で新的なプロジェクトを立ち上げ、医療サービスの質向上に取り組んでいる。
田中一郎,65,男性,東京都世田谷区,4LDKの一戸建て（自宅）,引退済み・元大手建設会社の部長,"大企業（約5,000人規模）",退職金を受け取り、現在は年金生活,東京大学工学部土木工学科卒業,妻と二人暮らし。息子2人が独立し、孫が3人いる。,家族の絆を大切にし、社会貢献活動にも積極的,朝は散歩を兼ねて近所の喫茶店でコーヒーを飲み、午後は地域のボランティア活動や公民館での講座に参加する。,ガーデニング、木工、将棋、読書（主に歴史小説）,孫たちと更多的時間を過ごすこと、健康を維持すること,必要最小限のものしか購入せず、品質と耐久性を重視する。最近はインターネットショッピングも利用するようになった。,新聞（朝日新聞）、TVニュース、地域の情報誌,スマートフォン（iPhone）、タブレット（iPad）,Facebook（家族との連絡用）、LINE（孫や友人とのコミュニケーション用）,6:00 起床、7:00 散歩と朝食、8:30 近所の喫茶店でコーヒーを飲みながら新聞を読む、10:00 一息入れて自宅に戻る、12:00 昼食、14:00 地域のボランティア活動や公民館での講座参加、18:00 帰宅し夕食準備、20:00 TVを見ながらリラックス、22:00 就寝,健康問題（特に膝痛と視力低下）、孫たちとの時間確保、地域の安全や環境問題,膝痛対策用品の購入、視力補正サングラスの検討、家族との連絡方法をより便利にする手段,UNIQLO（快適なリラックスウェア）、ニッセン（質の良い家具）,NHK BSプレミアムのドキュメンタリー番組、Kindleで読む電子書籍,近所付き合いが良く、地域のコミュニティに深く関与している。息子たちは独立し、孫たちとは頻繁に連絡を取り合う。,先月、孫の一人が大学に合格して喜んでいる。来週は地域の清掃活動に参加する予定。
佐藤春子,64,女性,東京都世田谷区,持ち家（3LDK）,社会福祉士・臨床心理士（非常勤）,NPO法人「ほっとタイム」所属（10人未満）,年収280万円（非常勤のため時給制）,短大卒業（心理学科）,夫と同居、長女は既婚・東京在住、次女は単身者・横浜在住,家族や地域コミュニティのつながりを大切にし、高齢者の支援活動にも力を入れている。健康維持も重視している。,朝5時半起床、朝食後は近所を散歩してから家事や仕事の準備をする。週2回は福祉施設で非常勤として働いている。帰宅後は趣味の水彩画や読書を楽しむ。,水彩画、読書（特に小説）、旅行（年1回国内）,70歳まで現役で働き続け、地域の高齢者支援活動に貢献したい。また、孫と過ごす時間を増やしたい。,実店舗での買い物が主だが、便利さから時々オンラインショッピングも利用する。特に食品や生活用品は近所のスーパーやドラッグストアで購入している。,テレビニュース、地元新聞、SNS（地域情報）,スマートフォン、タブレット,Facebook（主に家族や友人との連絡）、LINE（孫とのやりとり）,5:30 起床、6:00 散歩、7:00 朝食、8:00 家事・仕事の準備、10:00 〜 14:00 （週2回）福祉施設での勤務、15:00 休憩後趣味活動、19:00 晩御飯、21:00 就寝,自分の健康と老後の生活費の確保。また、高齢者の孤独死問題に心を痛めている。,健康的な食事やサプリメントを探したい。また、孫とのコミュニケーション方法についてアドバイスを求めている。,花王、コカ・コーラ,NHK BSプレミアムのドラマ、Netflixの映画（主に邦画）,家族や地元の人々との関係が良好。同年代の友人たちと月1回は食事会を開いている。,先日、孫の高校卒業式に出席し、喜びと感動を共有した。また、地域のボランティア活動で高齢者の自宅訪問を行い、心温まる交流を持った。
佐藤一郎,75,男性,東京都世田谷区,持ち家（3LDK）,元大学教授,私立大学,退職金と年金生活（約400万円/年）,東京大学文学部卒業、博士（文学）,妻と同居。息子2人は独立し、孫は3人いる。,教育の重要性、家族との時間、地域貢献,朝は散歩、昼は地元の喫茶店で友人と会話、夕方は読書や書き物,読書（特に文学）、ゴルフ、孫と遊ぶこと,著書を出版すること、孫の成長を見守ること,品質重視、信頼できるブランドを選択する傾向がある,新聞、TVニュース、地元の雑誌,スマートフォン、タブレット,Facebook（孫とのコミュニケーション）、Twitter（時事問題について）,7:00 起床 → 8:00 散歩 → 10:00 喫茶店で友人と会話 → 12:00 昼食 → 14:00 読書・書き物 → 18:00 夕食 → 20:00 TV視聴 → 22:00 就寝,孫の教育、自分の健康状態、地域の安全,家族とのつながりを保つ方法、健康的な生活習慣、地域社会への貢献の機会,無印良品、タフタ（ゴルフ用品）,NHK総合、Netflix（ドキュメンタリー）,孫と親密、地元の友人や同窓生とのつながりがある,孫の高校入学式に参加し、孫から感謝の手紙をもらった。地元の公民館でボランティア活動を始めた。
田中 花子,73,女性,東京都目黒区,持ち家（3LDK）,元小学校教諭,なし,年金収入（約250万円/年）,東京女子大学 教育学部卒業,夫（76歳、元会社員）、長女（48歳、医師）、次女（45歳、プログラマー）、孫3人,家族の絆を大切にし、地域社会とのつながりも重視。健康と趣味を通じて充実した人生を送ることを目指している。,朝は散歩から始まり、午前中は家事を済ませる。昼食後は読書や孫の面倒を見ることが多く、週2回は地域のボランティア活動に参加している。,日本画、茶道、旅行,孫の成長を見守りながら、自身も趣味を通じて新たな挑戦をする。将来的には孫たちと海外旅行に行くことを夢見ている。,生活用品は主に近所のスーパーやドラッグストアで購入。高価なものはインターネット通販を利用することもあるが、信頼できるブランドや商品を選ぶ。,地元の新聞、テレビニュース、孫たちから得る情報,スマートフォン（Android）、タブレット（iPad）,Facebookで家族とのコミュニケーションをとっている。孫たちが投稿する写真や近況報告を見るのが楽しみ。,6:30 起床、7:00 散歩、8:00 家事・朝食準備、12:00 昼食、14:00 読書・孫の面倒、17:00 準備・夕食、19:30 テレビ視聴、21:00 お風呂・就寝,年齢を重ねるにつれて健康が気になる。また、孫たちとの関係性を保つことが重要と考えている。,健康的な食事の管理や運動のための支援。孫とのコミュニケーションツールの使い方を学びたい。,花王、サントリー、トヨタ,NHKニュース、朝ドラ、大河ドラマ,近所付き合いが良好で、地域のコミュニティ活動にも積極的に参加している。夫とは長年連れ添っており、互いを尊重し合う関係性がある。,孫たちと春先に箱根旅行に行き、孫娘が受験に合格したことを祝った。また、最近では地元の高齢者向け健康教室に参加している。
伊藤正義,85,男性,東京都目黒区,分譲マンション（3LDK）,元大手製薬会社の研究開発部長,"大企業（5,000人以上）",年金収入：約280万円/年,東京大学理学部卒業,妻（79歳）、息子1人（53歳、会社員）、娘1人（50歳、専業主婦）、孫3人（12歳、8歳、6歳）,家族の幸せと健康を重視。科学的な思考を持ち、新しい知識を学ぶことを楽しむ。,朝は早起きして散歩をし、午前中は読書や趣味に没頭。昼間は近所の友人と将棋やゴルフを楽しむ。夕方は家族と過ごす時間を大切にする。,将棋、ゴルフ、科学技術の読み物、孫との時間,健康的な長寿を維持し、家族との絆を深める。地域社会に貢献する活動を見つける。,質と耐久性を重視。新しい製品は信頼できるレビューや口コミを見てから購入する。,新聞（朝日新聞）、科学雑誌、地域の情報誌,スマートフォン（iPhone 12）、タブレット（iPad）,Facebookで孫や友人との連絡を取る。Twitterでは科学技術の最新ニュースをチェックする。,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 読書/趣味 → 12:00 昼食 → 13:00 友人と会う/地域活動 → 17:00 夕方の散歩 → 18:00 晩御飯 → 19:00 テレビ・家族との時間 → 21:00 就寝,高齢化による健康問題や認知症のリスク。孫たちの成長と教育に関すること。,健康的な生活を維持するための支援（栄養補助、運動プログラム）。家族とのコミュニケーションツールの改善。,無印良品、ソニー、パナソニック,NHKニュース、BBC、科学番組,近所の人々や旧職場の同僚と良好な関係。孫との絆が強い。,孫たちが学校で科学実験を学んだことを聞いて、一緒に家庭実験をする約束をした。地域の公民館でボランティア活動に参加する予定。
